,CategoryGroupID,Description,Key,Title
0,,,T001160,Alle misdrijven
1,,,A025248,HIC: High Impact Criminaliteit - totaal
2,,,A025249,"HIC: Diefstal/inbraak woning, totaal"
3,,,A028970,"  HIC: Diefstal/inbraak woning, voltooid"
4,,,A025250,"  HIC: Diefstal/inbraak woning, pogingen"
5,,,A025251,HIC: Geweldsmisdrijven
6,,,A025253,HIC: Straatroof
7,,,A028971,HIC: Overvallen
8,,,A025239,Aantasting openbare orde
9,,,A025240,Bedreiging
10,,,A025241,Brand/ontploffing
11,,,A025243,"Diefstal van brom-, snor-, fietsen"
12,,,A025242,Diefstal uit/vanaf motorvoertuigen
13,,,A025244,Diefstal van motorvoertuigen
14,,,A025245,Diefstal/inbraak bedrijven/instellingen
15,,,A025246,Diefstal/inbraak garage/schuur/tuinhuis
16,,,A025247,Drugshandel
17,,,A025254,Huisvredebreuk
18,,,A025255,Mishandeling
19,,,A025256,Openlijk geweld (persoon)
20,,,A025257,Vernieling cq. zaakbeschadiging
21,,,A025258,Wapenhandel
22,,,A025259,Zakkenrollerij
23,,,A025260,Zedenmisdrijf
